SMILES,IC50
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccc(cc1)-c1cc(=O)[nH][nH]1,1.1
COc1ccc(cc1)C(NC(=O)c1cnc(nc1O)-n1cccn1)c1ccc(OC)cc1,1.1
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccc(cc1)C(O)=O)c1cc(=O)[nH]cn1,1.1
OC(=O)CNC(=O)c1c(O)c2cc(cc3OC(Cn(c23)c1=O)c1ccc(cc1)C(F)(F)F)C#N,1.3
Oc1nc(ncc1C(=O)NCc1ccc(cc1)-c1ccccc1)-n1cccn1,1.3
COc1ccc(cc1)[C@H](C)NC(=O)c1cnc(nc1O)-n1cccn1,1.4
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccc2nc[nH]c2c1,1.5
OC(=O)CNC(=O)c1c(O)c2cc(cc3SC(Cn(c23)c1=O)c1ccc(cc1)C(F)(F)F)C#N,1.5
Cn1c2nc(ncc2c(O)c(C(=O)NCC(O)=O)c1=O)-c1ccccc1F,1.5
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccc(cc1)C#N,1.6
Cc1cccnc1CN1CCC2(CC1)C(=O)N(c1ncccc21)c1ccc(cc1)-c1ccccc1,1.6
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(nc1)-c1ccc(cc1)C(O)=O,1.6
COCC[C@H](C)NC(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1)C#N,1.78
OC(=O)CNC(=O)c1c(O)c2cc(cc3OCCn(c23)c1=O)C#N,1.8
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(nc1)-c1ccc(cc1C)C(O)=O,1.9
OC(=O)CNC(=O)c1c(O)c2cc(cc3CC(Cn(c23)c1=O)c1ccc(cc1)C(F)(F)F)C#N,1.9
OC(=O)CNC(=O)c1ncc(cc1O)C#C,1.9
C[C@H](NC(=O)c1cnc(nc1O)-n1cccn1)c1ccc(F)cc1,1.9
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccc2cn[nH]c2c1,2
Oc1nc(ncc1C(=O)NC(c1ccccc1)c1ccccc1)-n1cccn1,2
OC(=O)CNC(=O)c1c(O)c2cc(OC(F)(F)F)cc3OC(Cn(c23)c1=O)c1ccc(cc1)C#N,2
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccccc1)c1ncccn1,2.1
Cc1cccnc1CN1CCC2(CC1)C(=O)N(c1cccnc21)c1ccc(cc1)-c1ccccc1,2.1
CC(C)(NC(=O)c1cnc(nc1O)-n1cc(cn1)C(O)=O)c1ccccc1,2.1
CN(C)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,2.14
Cc1cc(C#N)c(F)cc1-c1cnn(c1O)-c1ccc(cn1)C(=O)N1CCOCC1,2.24
OC(=O)CNC(=O)c1c(O)c2COCc2n(Cc2ccc(Cl)cc2)c1=O,2.3
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccc2[nH]ncc2c1,2.3
CN1CCN(CC11CC1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1cc(F)c(cc1C)C#N,2.34
Cc1cc(CC(O)=O)cnc1CN1CCC2(CCN(C2=O)c2ccc(cc2)-c2ccccc2)CC1,2.5
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccccc1)c1cc(=O)[nH]cn1,2.5
Oc1nc(ncc1C(=O)NC(c1ccccc1)c1ccccc1)-c1cccnn1,2.5
COCC[C@H](C)NC(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,2.51
CCCN1CCN(CC1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,2.51
CN1CCN(CC1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1cc(F)c(cc1C)C#N,2.57
OC(=O)CNC(=O)c1c(O)c2COCc2n(Cc2ccc(F)cc2F)c1=O,2.6
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1csc(c1)C(O)=O,2.8
CN(CC(F)F)[C@H]1CCCN(C1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(C#N)c(F)c1C,2.82
CN1CCN(CC11CC1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(C#N)c(F)c1C,2.88
Oc1nc(ncc1C(=O)NCc1ccc(Cl)cc1)-n1cccn1,2.9
CN(CC(F)F)[C@@H]1CCCN(C1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(C#N)c(F)c1C,2.95
OC(=O)CNC(=O)c1nc(cc2n(cnc12)-c1ccccc1)-c1ccccc1,3
Cn1c2ccsc2c(O)c(C(=O)NCC(O)=O)c1=O,3
CC(C)(C)OC(=O)c1ccc(nc1)-n1[nH]cc(-n2ccnn2)c1=O,3
CC(C)(C)c1ccc(CS(=O)(=O)CC(=O)N=c2scc(CC(O)=O)n2O)cc1,3
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccccc1)c1nccc(=O)[nH]1,3
OC(=O)CNC(=O)C1C(=O)c2ccccc2C1=O,3
CCN1CCN(C[C@@H]1C)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1cc(F)c(cc1C)C#N,3.02
Cc1cc(ccc1-c1cnn(c1O)-c1ccc(cn1)C(=O)N1CCN(CC(F)F)CC1)C#N,3.09
OC(=O)CNC(=O)c1c(O)c2COCc2n(Cc2ccc(OC(F)(F)F)cc2)c1=O,3.1
C[C@H]1CN(CCN1C)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(C#N)c(F)c1C,3.16
Cc1cc(ccc1-c1cnn(c1O)-c1ccc(cn1)C(=O)N1CCN(CC(F)(F)F)CC1)C#N,3.16
Cc1c(F)c(ccc1-c1cnn(c1O)-c1ccc(cn1)C(=O)N1CCN2CCC[C@@H]2C1)C#N,3.16
C[C@H]1CN(CCN1C)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1cc(F)c(cc1C)C#N,3.16
COCCCNC(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(C#N)c(F)c1C,3.24
Cc1cc(ccc1-c1cnn(c1O)-c1ccc(cn1)C(=O)N1CCN2CCCC2C1)C#N,3.31
CCN1CCN(C[C@H]1C)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1cc(F)c(cc1C)C#N,3.31
COCCCCNC(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1F)C#N,3.31
COCCCNC(=O)c1ccc(nc1)-n1ncc(c1O)-c1cc(F)c(cc1C)C#N,3.31
CCN1CCN([C@@H](C)C1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(C#N)c(F)c1C,3.39
CN(CC(F)(F)F)[C@H]1CCCN(C1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(C#N)c(F)c1C,3.39
Cc1c(F)c(ccc1-c1cnn(c1O)-c1ccc(cn1)C(=O)N1CCOCC1)C#N,3.39
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccccc1)c1ccnc(=O)[nH]1,3.4
CN1CCN(CC(F)(F)C1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,3.47
COCC[C@@H](C)NC(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1)C#N,3.47
COCC[C@@H](C)NC(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,3.55
Cc1c(F)c(ccc1-c1cnn(c1O)-c1ccc(cn1)C(=O)N1CCCC1)C#N,3.63
C[C@@H]1CN(CCN1C)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1cc(F)c(cc1C)C#N,3.63
CN1CCN(CC1(C)C)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,3.63
CC(C)(NC(=O)c1cnc(nc1O)-n1cccn1)c1ccccc1,3.7
Cc1c(F)c(ccc1-c1cnn(c1O)-c1ccc(cn1)C(=O)N1CC(C1)N1CCCCC1)C#N,3.72
OC(=O)CNC(=O)c1c(O)c2COCc2n(Cc2ccn(n2)-c2ccccc2)c1=O,3.8
Cc1cccnc1CN1CCC2(CC(=O)N(C2=O)c2ccc(cc2)-c2ccccc2)CC1,3.8
CCCN1CCN(CC1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,3.89
Cc1cc(ccc1-c1cnn(c1O)-c1ccc(cn1)C(=O)NC1CCN(CC(F)(F)F)CC1)C#N,3.89
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1cnc(=O)[nH]c1)c1cc(=O)[nH]cn1,3.9
COCC1(CNC(=O)c2ccc(nc2)-n2ncc(c2O)-c2ccnc(OC)c2)CCCC1,3.98
CCN1CCN(C[C@H]1C)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(C#N)c(F)c1C,3.98
CNC(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,3.98
Cc1cc(ccc1-c1cnn(c1O)-c1ccc(cn1)C(=O)NCCC1CCCO1)C#N,3.98
Cc1cc(ccc1-c1cnn(c1O)-c1ccc(cn1)C(=O)NC1CC2(COC2)C1)C#N,3.98
CN(C)C1CN(C1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(C#N)c(F)c1C,3.98
OC(=O)CNC(=O)c1c(O)c2COCc2n(Cc2cnc(s2)C(F)(F)F)c1=O,4
Cc1cccnc1CN1CCC2(CCN(C2=O)c2ccc(cc2C)-c2ccccc2)CC1,4
Cc1cccnc1CN1CCC2(CC1)C(=O)N(c1ccccc21)c1ccc(cc1)-c1ccccc1,4
C[C@@H]1CN(CCN1C)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(C#N)c(F)c1C,4.07
Cc1cc(ccc1-c1cnn(c1O)-c1ccc(cn1)C(=O)N1CCN(CC1)C1CC1)C#N,4.07
Cc1c(F)c(ccc1-c1cnn(c1O)-c1ccc(cn1)C(=O)N1CCN(CC1)C1CC1)C#N,4.07
CN(C1CCC1)C1CN(C1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,4.07
